#string_protein_id	preferred_name	protein_size	annotation
1280.SAXN108_1422	AID39863.1	207	annotation not available
1280.SAXN108_1423	AID39864.1	378	annotation not available
1280.SAXN108_1424	AID39865.1	40	annotation not available
1280.SAXN108_1425	AID39866.1	116	annotation not available
1280.SAXN108_1426	AID39867.1	447	Component of the transport system for branched-chain amino acids (leucine, isoleucine and valine), which is coupled to a proton motive force (Potential). Contributes to NaCl tolerance
1280.SAXN108_1427	AID39868.1	628	annotation not available
1280.SAXN108_1428	AID39869.1	263	annotation not available
1280.SAXN108_1429	AID39870.1	67	annotation not available
1280.SAXN108_1430	AID39871.1	269	annotation not available
1280.SAXN108_1431	odhB	422	E2 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the second step in the conversion of 2- oxoglutarate to succinyl-CoA and CO(2)
1280.SAXN108_1432	odhA	932	E1 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the decarboxylation of 2-oxoglutarate, the first step in the conversion of 2-oxoglutarate to succinyl-CoA and CO(2)
1280.SAXN108_1433	arlS	451	Member of the two-component regulatory system ArlS/ArlR involved in the regulation of adhesion, autolysis, multidrug resistance and virulence. ArlS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to ArlR. ArlS/ArlR affects expression of the multidrug resistance transporter norA and interacts with both Agr (virulence accessory gene regulator) (negatively) and SarA (staphylococcal accessory regulator) (positively) to modulate several virulence factor genes, including ssp (serine protease), spa (surface pro [...] 
1280.SAXN108_1434	arlR	219	Member of the two-component regulatory system ArlS/ArlR involved in the regulation of adhesion, autolysis, multidrug resistance and virulence. ArlS/ArlR affects expression of the multidrug resistance transporter NorA and interacts with both Agr (virulence accessory gene regulator) (negatively) and SarA (staphylococcal accessory regulator) (positively) to modulate several virulence factor genes, including ssp (serine protease), spa (surface protein A) and hla (alpha-hemolysin). Could inhibit biofilm development by a mechanism independent of the presence of the poly-N-acetylglucosamine ( [...] 
1280.SAXN108_1435	AID39876.1	43	annotation not available
1280.SAXN108_1436	AID39877.1	54	annotation not available
1280.SAXN108_1437	AID39878.1	116	annotation not available
1280.SAXN108_1438	AID39879.1	204	annotation not available
1280.SAXN108_1439	murG	356	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)
1280.SAXN108_1440	AID39881.1	169	annotation not available
1280.SAXN108_1441	AID39882.1	496	Belongs to the peptidase S41A family. 
1280.SAXN108_1442	AID39883.1	77	Belongs to the UPF0346 family
1280.SAXN108_1443	SAXN108_1443	166	annotation not available
1280.SAXN108_1444	msrB	142	Belongs to the MsrB Met sulfoxide reductase family. 
1280.SAXN108_1445	msrA2	177	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity)
1280.SAXN108_1446	AID39887.1	279	annotation not available
1280.SAXN108_1447	SAXN108_1447	159	Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis
1280.SAXN108_1448	thyA	318	Catalyzes the reductive methylation of 2'-deoxyuridine-5'- monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by- product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. 
1280.SAXN108_1449	AID39890.1	145	Belongs to the UPF0403 family
1280.SAXN108_1450	cvfC	374	Required for hemolysin production. Contributes to virulence in both silkworm-infection model and mice. 
1280.SAXN108_1451	AID39892.1	83	annotation not available
1280.SAXN108_1452	AID39893.1	64	annotation not available
1280.SAXN108_1453	AID39894.1	234	Involved in the import of queuosine (Q) precursors, required for Q precursor salvage
1280.SAXN108_1454	AID39895.1	43	annotation not available
1280.SAXN108_1455	AID39896.1	133	annotation not available
1280.SAXN108_1456	AID39897.1	10421	annotation not available
1280.SAXN108_1457	norB	466	Multidrug efflux pump that acts independently of NorA and is one of the factors that confers resistance against diverse quinolones and chemical compounds. Extrudes norfloxacin, ciprofloxacin, cetrimide, tetraphenylphosphonium ion (TPP), sparfloxacin, moxifloxacin and ethidium bromide. Contributes also to the efflux of tetracycline. 
1280.SAXN108_1458	AID39899.1	440	annotation not available
1280.SAXN108_1459	tdcB	346	Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short-lived. The second step is the nonenzymatic hydrolysis of the enamine/imine intermediates to form 2- ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA (By similarity). 
1280.SAXN108_1460	ald1	372	May play a role in cell wall synthesis as L-alanine is an important constituent of the peptidoglycan layer
1280.SAXN108_1461	AID39902.1	292	annotation not available
1280.SAXN108_1462	AID39903.1	1146	annotation not available
1280.SAXN108_1463	AID39904.1	446	annotation not available
1280.SAXN108_1464	AID39905.1	110	annotation not available
1280.SAXN108_1465	AID39906.1	381	Belongs to the methyltransferase superfamily. 
1280.SAXN108_1466	AID39907.1	38	annotation not available
1280.SAXN108_1467	gpsB	114	Divisome component that associates with the complex late in its assembly, after the Z-ring is formed, and is dependent on DivIC and PBP2B for its recruitment to the divisome. Together with EzrA, is a key component of the system that regulates PBP1 localization during cell cycle progression. Its main role could be the removal of PBP1 from the cell pole after pole maturation is completed. Also contributes to the recruitment of PBP1 to the division complex. Not essential for septum formation
1280.SAXN108_1468	AID39909.1	187	Belongs to the UPF0398 family
1280.SAXN108_1469	AID39910.1	116	annotation not available
1280.SAXN108_1470	AID39911.1	59	annotation not available
1280.SAXN108_1471	recU	208	Endonuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves mobile four-strand junctions by introducing symmetrical nicks in paired strands. Promotes annealing of linear ssDNA with homologous dsDNA. Required for DNA repair, homologous recombination and chromosome segregation
1280.SAXN108_1472	SAXN108_1472	727	annotation not available
1280.SAXN108_1473	AID39914.1	113	annotation not available
1280.SAXN108_1474	nth	219	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N-glycosidic bond, leaving an AP (apurinic/apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'- phosphate
1280.SAXN108_1475	AID39916.1	228	annotation not available
1280.SAXN108_1476	AID39917.1	101	annotation not available
1280.SAXN108_1477	asnS	285	annotation not available
1280.SAXN108_1478	dinG	897	3'-5' exonuclease
1280.SAXN108_1479	birA	323	Acts both as a biotin--[acetyl-CoA-carboxylase] ligase and a repressor
1280.SAXN108_1480	SAXN108_1480	400	annotation not available
1280.SAXN108_1481	AID39922.1	380	annotation not available
1280.SAXN108_1482	AID39923.1	105	annotation not available
1280.SAXN108_1483	AID39924.1	232	annotation not available
1280.SAXN108_1484	AID39925.1	195	annotation not available
1280.SAXN108_1485	AID39926.1	191	Belongs to the UPF0302 family
1280.SAXN108_1486	AID39927.1	414	annotation not available
1280.SAXN108_1487	aroA	432	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3-phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate
1280.SAXN108_1488	aroB	354	Catalyzes the conversion of 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
1280.SAXN108_1489	aroC	388	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
1280.SAXN108_1490	ndk	149	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate
1280.SAXN108_1491	SAXN108_1491	319	Belongs to the FPP/GGPP synthase family. 
1280.SAXN108_1492	SAXN108_1492	241	Belongs to the class I-like SAM-binding methyltransferase superfamily. MenG/UbiE family
1280.SAXN108_1493	AID39934.1	190	annotation not available
1280.SAXN108_1494	AID39935.1	90	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions
1280.SAXN108_1495	gpsA	332	Belongs to the NAD-dependent glycerol-3-phosphate dehydrogenase family
1280.SAXN108_1496	der	436	GTPase that plays an essential role in the late steps of ribosome biogenesis
1280.SAXN108_1497	SAXN108_1497	391	annotation not available
1280.SAXN108_1498	AID39939.1	38	annotation not available
1280.SAXN108_1499	SAXN108_1499	219	annotation not available
1280.SAXN108_1500	SAXN108_1500	322	annotation not available
1280.SAXN108_1501	AID39942.1	328	annotation not available
1280.SAXN108_1502	ebpS	486	Promotes binding of soluble elastin peptides and tropoelastin to S.aureus cells although it is not able to promote bacterial adherence to immobilized elastin and, therefore, is not a microbial surface component recognizing adhesive matrix molecule (MSCRAMM). May be involved in sensing the environment or in nutrient transport, since its loss caused a growth defect
1280.SAXN108_1503	AID39944.1	459	annotation not available
1280.SAXN108_1504	AID39945.1	317	annotation not available
1280.SAXN108_1505	AID39946.1	82	annotation not available
1280.SAXN108_1506	AID39947.1	181	Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins
1280.SAXN108_1507	AID39948.1	304	annotation not available
1280.SAXN108_1508	AID39949.1	68	annotation not available
1280.SAXN108_1509	AID39950.1	312	annotation not available
1280.SAXN108_1510	AID39951.1	305	annotation not available
1280.SAXN108_1511	AID39952.1	673	annotation not available
1280.SAXN108_1512	AID39953.1	42	annotation not available
1280.SAXN108_1513	AID39954.1	289	annotation not available
1280.SAXN108_1514	srrB	564	Member of the two-component regulatory system SrrA/SrrB, which is involved in the global regulation of staphylococcal virulence factors in response to environmental oxygen levels as well as biofilm formation. Plays also an essential role in host-derived nitric oxide resistance by regulating hmp/flavohemoglobin, an enzyme that detoxifies nitric oxide by converting it to nitrate. Functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to SrrA. In turn, SrrA binds to the upstream promoter regions of the target genes to posi [...] 
1280.SAXN108_1515	srrA	241	Member of the two-component regulatory system SrrA/SrrB, which is involved in the global regulation of staphylococcal virulence factors in response to environmental oxygen levels as well as biofilm formation. Plays also an essential role in host-derived nitric oxide resistance by regulating hmp/flavohemoglobin, an enzyme that detoxifies nitric oxide by converting it to nitrate (By similarity). Functions as a transcription regulator by direct binding to promoter regions of target genes (By similarity)
1280.SAXN108_1516	SAXN108_1516	239	Belongs to the pseudouridine synthase RsuA family. 
1280.SAXN108_1517	scpB	180	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves. 
1280.SAXN108_1518	scpA	243	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves. 
1280.SAXN108_1519	AID39960.1	168	annotation not available
1280.SAXN108_1520	xerD	295	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC- XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids. 
1280.SAXN108_1521	AID39962.1	149	Belongs to the Fur family
1280.SAXN108_1522	AID39963.1	180	annotation not available
1280.SAXN108_1523	AID39964.1	302	annotation not available
1280.SAXN108_1524	AID39965.1	82	annotation not available
1280.SAXN108_1525	AID39966.1	251	annotation not available
1280.SAXN108_1526	proC	271	Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline
1280.SAXN108_1527	rnz	306	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA
1280.SAXN108_1528	zwf	494	Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone
1280.SAXN108_1529	AID39970.1	43	annotation not available
1280.SAXN108_1530	AID39971.1	288	annotation not available
1280.SAXN108_1531	AID39972.1	549	annotation not available
1280.SAXN108_1532	SAXN108_1532	339	annotation not available
1280.SAXN108_1533	AID39974.1	123	annotation not available
1280.SAXN108_1534	SAXN108_1534	468	Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
1280.SAXN108_1535	AID39976.1	377	annotation not available
1280.SAXN108_1536	AID39977.1	59	annotation not available
1280.SAXN108_1537	AID39978.1	326	annotation not available
1280.SAXN108_1538	AID39979.1	145	Belongs to the UPF0403 family
1280.SAXN108_1539	SAXN108_1539	424	annotation not available
1280.SAXN108_1540	SAXN108_1540	327	annotation not available
1280.SAXN108_1541	SAXN108_1541	330	annotation not available
1280.SAXN108_1542	AID39983.1	473	annotation not available
1280.SAXN108_1543	SAXN108_1543	559	May be involved in recombinational repair of damaged DNA. 
1280.SAXN108_1544	argR	150	Regulates arginine biosynthesis genes
1280.SAXN108_1545	SAXN108_1545	293	Belongs to the FPP/GGPP synthase family. 
1280.SAXN108_1546	xseB	76	Bidirectionally degrades single-stranded DNA into large acid- insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
1280.SAXN108_1547	xseA	445	Bidirectionally degrades single-stranded DNA into large acid- insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
1280.SAXN108_1548	nusB	129	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons. 
1280.SAXN108_1549	AID39990.1	120	annotation not available
1280.SAXN108_1550	SAXN108_1550	451	This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. 
1280.SAXN108_1551	SAXN108_1551	154	This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. 
1280.SAXN108_1552	efp	185	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase
1280.SAXN108_1553	AID39994.1	353	Belongs to the peptidase M24B family. 
1280.SAXN108_1554	AID39995.1	193	annotation not available
1280.SAXN108_1555	AID39996.1	72	annotation not available
1280.SAXN108_1556	lipM	276	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domain of GcvH, an intermediate carrier during protein lipoylation
1280.SAXN108_1557	AID39998.1	128	annotation not available
1280.SAXN108_1558	gcvPB	490	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein
1280.SAXN108_1559	gcvPA	448	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein
1280.SAXN108_1560	gcvT	363	The glycine cleavage system catalyzes the degradation of glycine
1280.SAXN108_1561	aroK	174	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
1280.SAXN108_1562	AID40003.1	124	annotation not available
1280.SAXN108_1563	AID40004.1	99	annotation not available
1280.SAXN108_1564	AID40005.1	134	annotation not available
1280.SAXN108_1565	AID40006.1	103	Required for transformation and DNA binding. 
1280.SAXN108_1566	AID40007.1	356	annotation not available
1280.SAXN108_1567	AID40008.1	324	annotation not available
1280.SAXN108_1568	AID40009.1	207	annotation not available
1280.SAXN108_1569	AID40010.1	109	annotation not available
1280.SAXN108_1570	SAXN108_1570	328	annotation not available
1280.SAXN108_1571	AID40012.1	487	annotation not available
1280.SAXN108_1572	AID40013.1	197	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
1280.SAXN108_1573	rpmG2	49	Belongs to the bacterial ribosomal protein bL33 family. 
1280.SAXN108_1574	SAXN108_1574	629	annotation not available
1280.SAXN108_1575	sodA	199	Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems. May play a role in maintaining cell viability throughout all stages of growth, but may be the major SOD activity in the exponential growth- phase. Has a role in resisting external superoxide stress. Involved in acid tolerance and the acid-adaptive response. Mediates the derepression of perR regulon in the response to HOCl stress when the level of SOD activity is low
1280.SAXN108_1576	fur	136	Acts as a global negative controlling element, employing Fe(2+) as a cofactor to bind the operator of the repressed genes. 
1280.SAXN108_1577	AID40018.1	287	annotation not available
1280.SAXN108_1578	SAXN108_1578	261	annotation not available
1280.SAXN108_1579	nfo	296	Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic (AP) sites, generating a 3'-hydroxyl group and a 5'-terminal sugar phosphate. 
1280.SAXN108_1580	cshB	448	Probable DEAD-box RNA helicase. May work in conjunction with the cold shock proteins to ensure proper initiation of transcription at low and optimal temperatures
1280.SAXN108_1581	AID40022.1	366	Belongs to the GTP cyclohydrolase I type 2/NIF3 family. 
1280.SAXN108_1582	AID40023.1	225	annotation not available
1280.SAXN108_1583	sigA	368	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth
1280.SAXN108_1584	dnaG	599	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication. 
1280.SAXN108_1585	AID40026.1	221	Bifunctional serine/threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation/dephosphorylation. 
1280.SAXN108_1586	AID40027.1	179	annotation not available
1280.SAXN108_1587	glyQS	463	Catalyzes the attachment of glycine to tRNA(Gly). 
1280.SAXN108_1588	recO	248	Involved in DNA repair and RecF pathway recombination. 
1280.SAXN108_1589	era	299	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
1280.SAXN108_1590	AID40031.1	134	This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis
1280.SAXN108_1591	AID40032.1	114	annotation not available
1280.SAXN108_1592	ybeY	155	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA
1280.SAXN108_1593	AID40034.1	315	annotation not available
1280.SAXN108_1594	AID40035.1	79	annotation not available
1280.SAXN108_1595	AID40036.1	288	annotation not available
1280.SAXN108_1596	AID40037.1	133	annotation not available
1280.SAXN108_1597	AID40038.1	58	annotation not available
1280.SAXN108_1598	AID40039.1	329	annotation not available
1280.SAXN108_1599	AID40040.1	155	annotation not available
1280.SAXN108_1600	rpsU	58	Belongs to the bacterial ribosomal protein bS21 family. 
1280.SAXN108_1601	AID40042.1	361	annotation not available
1280.SAXN108_1602	AID40043.1	59	annotation not available
1280.SAXN108_1603	AID40044.1	250	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit
1280.SAXN108_1604	prmA	312	Methylates ribosomal protein L11
1280.SAXN108_1605	dnaJ	379	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, DnaK-independent fashion. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are require [...] 
1280.SAXN108_1606	dnaK	610	Acts as a chaperone
1280.SAXN108_1607	grpE	208	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions be [...] 
1280.SAXN108_1608	hrcA	325	Negative regulator of class I heat shock genes (grpE-dnaK- dnaJ and groELS operons). Prevents heat-shock induction of these operons
1280.SAXN108_1609	SAXN108_1609	321	Probably acts as a heme chaperone, transferring heme to an unknown acceptor. Binds one molecule of heme per monomer, possibly covalently. Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. 
1280.SAXN108_1610	lepA	607	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back-translocation proceeds from a post-translocation (POST) complex to a pre- translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP- dependent manner
1280.SAXN108_1611	rpsT	83	Binds directly to 16S ribosomal RNA
1280.SAXN108_1612	AID40053.1	324	annotation not available
1280.SAXN108_1613	AID40054.1	733	annotation not available
1280.SAXN108_1614	SAXN108_1614	153	annotation not available
1280.SAXN108_1615	AID40056.1	201	annotation not available
1280.SAXN108_1616	AID40057.1	238	annotation not available
1280.SAXN108_1617	rsfS	117	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation. 
1280.SAXN108_1618	AID40059.1	194	annotation not available
1280.SAXN108_1619	nadD	189	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD). 
1280.SAXN108_1620	AID40061.1	96	annotation not available
1280.SAXN108_1621	aroE	268	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
1280.SAXN108_1622	AID40063.1	366	annotation not available
1280.SAXN108_1623	AID40064.1	175	annotation not available
1280.SAXN108_1624	mtnN	228	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5'- methylthioribose and S-ribosylhomocysteine, respectively. 
1280.SAXN108_1625	AID40066.1	89	annotation not available
1280.SAXN108_1626	AID40067.1	250	annotation not available
1280.SAXN108_1627	AID40068.1	61	annotation not available
1280.SAXN108_1628	AID40069.1	94	annotation not available
1280.SAXN108_1629	AID40070.1	124	annotation not available
1280.SAXN108_1630	AID40071.1	163	annotation not available
1280.SAXN108_1631	AID40072.1	331	annotation not available
1280.SAXN108_1632	AID40073.1	409	annotation not available
1280.SAXN108_1633	pxpA	250	Catalyzes the cleavage of 5-oxoproline to form L-glutamate coupled to the hydrolysis of ATP to ADP and inorganic phosphate. 
1280.SAXN108_1634	AID40075.1	453	annotation not available
1280.SAXN108_1635	AID40076.1	149	annotation not available
1280.SAXN108_1636	AID40077.1	336	annotation not available
1280.SAXN108_1637	AID40078.1	244	annotation not available
1280.SAXN108_1638	greA	158	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides. 
1280.SAXN108_1639	udk	207	annotation not available
1280.SAXN108_1640	AID40081.1	422	annotation not available
1280.SAXN108_1641	AID40082.1	307	annotation not available
1280.SAXN108_1642	AID40083.1	155	annotation not available
1280.SAXN108_1643	AID40084.1	102	Belongs to the UPF0473 family
1280.SAXN108_1644	AID40085.1	142	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA
1280.SAXN108_1645	AID40086.1	86	Belongs to the UPF0297 family
1280.SAXN108_1646	alaS	877	Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
1280.SAXN108_1647	recD2	825	DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity
1280.SAXN108_1648	AID40089.1	222	annotation not available
1280.SAXN108_1649	mnmA	372	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34
1280.SAXN108_1650	AID40091.1	380	annotation not available
1280.SAXN108_1651	AID40092.1	337	annotation not available
1280.SAXN108_1652	AID40093.1	48	annotation not available
1280.SAXN108_1653	AID40094.1	60	Belongs to the UPF0337 (CsbD) family
1280.SAXN108_1654	AID40095.1	140	annotation not available
1280.SAXN108_1655	AID40096.1	424	annotation not available
1280.SAXN108_1656	AID40097.1	257	annotation not available
1280.SAXN108_1657	aspS	588	Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction: L-aspartate is first activated by ATP to form Asp- AMP and then transferred to the acceptor end of tRNA(Asp). 
1280.SAXN108_1658	hisS	420	annotation not available
1280.SAXN108_1659	lytH	291	Probably involved in cell-wall metabolism (By similarity). May have autolysin activity . 
1280.SAXN108_1660	dtd	150	An aminoacyl-tRNA editing enzyme that deacylates mischarged D-aminoacyl-tRNAs. Also deacylates mischarged glycyl-tRNA(Ala), protecting cells against glycine mischarging by AlaRS. Acts via tRNA- based rather than protein-based catalysis; rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D- aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl- tRNA entities in vivo and helps enforce protein L-homochirality. 
1280.SAXN108_1661	SAXN108_1661	729	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
1280.SAXN108_1662	apt	172	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis. 
1280.SAXN108_1663	AID40104.1	757	annotation not available
1280.SAXN108_1664	secD	747	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
1280.SAXN108_1665	AID40106.1	86	annotation not available
1280.SAXN108_1666	tgt	379	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, tw [...] 
